Label,Text,stemmed_text
1,всем холодный душ из водомётов и не одного европидо ста не останеться ,все холодн душ водомет один европид сто останет
0,я поляк я люблю тебе ,поляк люб ты
1,автор хуй из рта вытащи беркут герои ,автор ху рот вытаскива беркут гер
1,позор януковичу не замочил майданщиков продажная скотина ,позор янукович замачива майданщик продажн скотин
0,легче всего обвинять россию ,легк обвиня росс
1,росия говно україна країна героїв ,рос гавн україн країн героїв
0,эх с танком бы куда круче смотрелось ,эх танк крут смотрет
0,як так можна брат на брата ,як можн брат брат
0, владимир владимирович кто бы говорил ,владимир владимирович говор
1,сука она продажная сколько ей платят за этот бред тварь как её ещё слушают люди и терпят это ,сук продажн скольк плат бред твар он ещ слуша человек терпет эт
0,что же ты не спишь сша там где ты всегда война ,спат сша войн
1,ну что ребята прислушаемся к словам янушеску вставай украина ,ребят прислушива слов янушеск встава украин
0,мы же один народ вы друг друга ненавидите так нельзя ,народ друг друг ненавидет
1,роман сыроватко страна стремительно деградирует из за таких тупых уродов как ты ,рома сыроватк стран стремительн деградирова так туп урод
1, сеера макс я живу в восточной украине уж здесь самая задница ,сеер макс жит восточн украин сам задниц
1, я українець а мне пофиг мне коврик нужен реальность как раз именно логике он и поддается если бы люди руководствовались просто логикой такие тупые ситуации были бы невозможны зачем кому то или чему то служить вообще люди рождаются не для того чтобы служить разве беркутовцы служат развен это не работа они не могут просто уволиться военные понятно они присягали какому то абстрактному государству формально они связаны обязательствами ,українет^ пофиг коврик нужн реальност имен логик поддава человек руководствова прост логик так туп ситуац невозможн кто что служ вообщ человек рожда служ беркутовец служ развен эт работ моч прост увольня воен понятн присяга как абстрактн государств формальн связыва обязательств
0,на видео анти террористический отряд сбу а не беркут допрыгались теперь валить будут ,виде ант террористическ отряд сбу беркут допрыга вал быт
1,правильно делают что мнут бока быдлоте которая вышла за гривень на площадь жалко не применили водомёты ,правильн дела мят бок быдлот котор выход гривен площад жалк применя водомет
0,угу между псковом и новгородом тоже не может быть никаких союзов а еще между мурманском и владивостоком между киевом и москвой между питером и челябинском ,уг псков новгород никак союз мурманск владивосток ки москв питер челябинск
0,жаль что так получилось ,жал получа
1,обычно люди пытаются вытереть лицо а эти специально такие ходят чтобы больше эффекта были получили звизды ,обычн человек пыта вытира лиц специальн так ход эффект получа звизд
0,до сашо завжди була і є велика повага ,саш завжд бул і є больш поваг
0,героям слава ,гер слав
0,а я думаю хакамада очень умная женщина а крашенинникова российская шовинистка если украинец любит свою родину он националист россиянин любит свою родину он патриот ребятки как это понимать ,дума хакамад очен умн женщин крашенинник российск шовинистк украинец люб родин националист россиянин люб родин патриот ребятк эт понима
1,ахаха так и надо мразям либерастам беркуту зачет ,ах мраз либераст беркут зачет
0,вместо того что бы работать ходят машут флагами и катаются на мопедах работать надо на благо своего будующего ,вмест работа ход маха флаг ката мопед работа благ сво будова
0,с такими людьми рядом не страшно было умирать спасибо майдану ,так человек ряд страшн умира спасиб майда
0,ещё один зомбированный москалёныш бедааа ,ещ зомбирова москаленыш бедаа
0,вже є вулиці досі повні ,вже є вулиці досі повні
1,кто то бабла рубит на этом мероприятии сейчас неплохое хули желеть беркут или нет они наемники им платят за это народ реально жалко что достались такие ушлепки у власти хз что будет дальше но дальше уже не будет как раньше ,бабнут руб мероприят неплох хул желет беркут наемник плат эт народ реальн жалк достава так ушлепк власт хз далек далек ран
0, дмитрий киевлянин когда коммандировочные беркуту от яныка около штуки баксов в день сложно им думать о совести ,дмитр киевлянин коммандировочн беркут янык окол штук бакс ден сложн дума совест
0,соловьёв красавчик всегда мне нравился короткими вставками ,солов красавчик нрав коротк вставк
1,я бы открыл стрельбу по талпе ведь они угражают жизни своими булыжниками и цепями в пендосси уже бы растреляли ,открыва стрельб талп угража жизн сво булыжник цеп пендосс растрелива
0,читаю комментарии и становится понятно что все кому лень думать вникать во внутреннюю и внешнюю политику россии те за хакамаду именно такие слепо идут на болотную майданы и прочие путчи т к зачем думать нам же сказали за свободу за справедливость крашенинникова уже для таких как вы все разжевала все по полочкам разложила хотя о чем это я это же все равно надо мозг включить и подумать а хакамада так задорно орет что грех ей не поверить ,чита комментар станов понятн кто лен дума вника внутрен внешн политик росс тот хакамад имен так слеп идт болотн майда проч путч т дума мы сказа свобод справедлив крашенинник так разжевыва полочк раскладыва хот эт эт равн мозг включа подума хакамад задорн ора грех поверя
1,молодцы украинцы приятно видеть то как они боролись за свои права и свободы и били поганых мусоров слава украине ,молодец украинец приятн видет борот сво прав свобод бит поган мусор слав украин
1,клоуны блядь ,клоун бляд
1, арина корина обоснуйте своё обвинение с чего вы взяли что я фашист я ведь могу тоже написать что вы трассовая шлюха но если я не обосную то это только голословное обвинение и так с чего вы обвинили меня в фашизме ,арин корин обосновыва сво обвинен взят фашист моч написа трассов шлюх обосновыва этот голословн обвинен обвиня фашизм
0,слава украине ,слав украин
0,молодці так їм ,молодці їм
0,эй комментаторы в армии хотя бы в стройбате кто нить служил так не работают снайпера с прикрытием да ещё этот бендеркомментатор в нескольких метрах от злодеев это продолжение сериала предыдущие серии голый хрен с пейсом на макушке потом отрезанные уши и т д ,э комментатор арм хот стройбат нит служ работа снайпер прикрыт ещ бендеркомментатор нескольк метр злод эт продолжен сериа предыдущ сер гол хрен пейс макушк отреза ух т д
0, мариша клишечто значит сергать люди требуют выборов а не казни это перезагрузка а не свержение если так рассуждать как вы то изменения всегда будут не к месту всегда чего то или кого то не хватает а украина в любом случае не будет без власти ведь есть парламент кабмин местные органы власти ,мариш клишечт знач серга человек требова выбор казн эт перезагрузк свержен рассужда изменен быт мест кто хвата украин люб случа власт парламент кабмин местн орга власт
0,читай аннотацию ,чита аннотац
